id, content, category
21, 【ハリル氏 失点「何起きたか」】W杯アジア最終予選で、日本はイラクと1-1でドロー。ハリルホジッチ監督は失点場面について「何が起きたか分かっていない」。, 2
22, 【ハリルJ 先制もイラクと1-1】ロシアW杯・アジア最終予選のイラク戦で、日本はFW大迫勇也のゴールで先制も、後半に同点とされドロー。, 2
23, 【速報イラク戦 同点弾許す】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
24, 【月面で蚕など生育実験へ 中国】中国が18年打ち上げ予定の月面無人探査機で、蚕やジャガイモなどの生育実験を計画。月面での生物実験は人類初になるという。, 5
25, 【猛毒「ヒアリ」国内で初確認】環境省は、特定外来生物で強い毒を持つ南米原産の「ヒアリ」が、国内で初めて確認されたと発表。中国でコンテナ内部に付着か。, 0
26, 【女生徒わいせつ 漫画まねた】放射能検査と称して女子中学生に触った容疑で逮捕された男が、漫画を読んでまねたと供述。県警が作者に異例の申し入れ。, 0
27, 【市職員 女性情報を不正に入手】市のシステムを不正使用して同僚女性の個人情報を入手し、ストーカー行為をしたとして、熊本県荒尾市が、職員を懲戒免職処分。, 0
28, 【北兵士 軍事境界線越え亡命】韓国軍合同参謀本部は、北朝鮮の兵士1人が軍事境界線を越え、亡命を求めてきたと明らかにした。交戦は発生していないという。, 3
29, 【北方領土に日本人観光客か】日本人を含む外国人観光客が北方領土の択捉島を訪問と露報道。日本政府は日本国民に北方四島へ入域しないよう要請している。, 3
30, 【空自C2 開発中も同様不具合】鳥取県の米子空港で9日、草地に突っ込んだ空自輸送機C2は開発中にも同様の不具合。開発完了が発表されたばかりの新型機。, 3
31, 【北兵士1人 軍事境界線越える】韓国軍は北兵士1人が北中部の南北軍事境界線を越えて韓国側に入ったと明らかに。昨年9月にも兵士1人が境界線を越え韓国亡命。, 3
32, 【皇太子さま 皇位継承に言及】皇太子さまが、象徴天皇としての務めを「全身全霊で取り組んでまいりたい」と述べた。皇位継承に関して発言したのは初。, 6
33, 【速報イラク戦 大迫が先制弾】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
34, 【加計再調査結果 あすにも公表】加計学園を巡る「総理の意向」文書の再調査について、文科省は14日に結果を公表する方針。野党は内閣府も調査すべきと追及。, 3
35, 【速報アジア最終予選 イラク戦】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
36, 【無罪 遺族ら「納得できない」】福知山線脱線事故でJR西日本の歴代3社長の無罪が確定することに対し、遺族は「納得できない」などと悔しさをあらわにした。, 0
37, 【イラク戦 本田5試合ぶり先発】ロシアW杯アジア最終予選・イラク戦の先発メンバーが発表された。31歳の誕生日の本田は代表戦5試合ぶりのスタメン。, 2
38, 【キアヌ アッコとあの鐘鳴らす】キアヌ・リーブスが、主演映画イベントで和田アキ子とヒット祈願の鐘を鳴らす。監督は和田に「オヤブン」役で映画出演を提案。, 1
